yearMonth,elementType,averageValue
176301,TMAX,0.28
176301,TMIN,-2.12
176302,TMAX,7.59
176302,TMIN,3.65
176303,TMAX,9.84
176303,TMIN,4.57
176304,TMAX,15.83
176304,TMIN,10.08
176305,TMAX,17.87
176305,TMIN,13.28
176306,TMAX,23.28
176306,TMIN,17.65
176307,TMAX,27.63
176307,TMIN,20.62
176308,TMAX,27.38
176308,TMIN,20.58
176309,TMAX,20.54
176309,TMIN,15.02
176310,TMAX,13.71
176310,TMIN,9.19
176311,TMAX,8.09
176311,TMIN,5.09
176312,TMAX,5.0
176312,TMIN,2.8
176401,TMAX,3.93
176401,TMIN,1.08
176402,TMAX,7.91
176402,TMIN,3.8
176403,TMAX,9.69
176403,TMIN,4.59
176404,TMAX,14.67
176404,TMIN,8.89
176405,TMAX,22.02
176405,TMIN,16.64
176406,TMAX,25.7
176406,TMIN,19.4
176407,TMAX,26.63
176407,TMIN,20.4
176408,TMAX,24.65
176408,TMIN,18.28
176409,TMAX,20.65
176409,TMIN,15.0
176410,TMAX,13.98
176410,TMIN,9.86
176411,TMAX,8.66
176411,TMIN,6.2
176412,TMAX,5.61
176412,TMIN,3.55
176501,TMAX,6.69
176501,TMIN,4.25
176502,TMAX,4.19
176502,TMIN,0.54
176503,TMAX,11.16
176503,TMIN,6.56
176504,TMAX,15.85
176504,TMIN,10.55
176505,TMAX,19.44
176505,TMIN,14.4
176506,TMAX,24.2
176506,TMIN,18.84
176507,TMAX,23.55
176507,TMIN,17.95
176508,TMAX,24.75
176508,TMIN,18.6
176509,TMAX,22.09
176509,TMIN,15.92
176510,TMAX,15.99
176510,TMIN,12.03
176511,TMAX,8.85
176511,TMIN,6.33
176512,TMAX,2.53
176512,TMIN,0.05
176601,TMAX,-0.89
176601,TMIN,-4.06
176602,TMAX,3.51
176602,TMIN,-0.26
176603,TMAX,10.66
176603,TMIN,5.43
176604,TMAX,15.8
176604,TMIN,10.61
176605,TMAX,20.05
176605,TMIN,14.71
176606,TMAX,25.71
176606,TMIN,19.37
176607,TMAX,25.93
176607,TMIN,19.23
176608,TMAX,26.41
176608,TMIN,19.91
176609,TMAX,21.78
176609,TMIN,15.97
176610,TMAX,14.85
176610,TMIN,11.23
176611,TMAX,11.17
176611,TMIN,8.77
176612,TMAX,3.13
176612,TMIN,1.0
176701,TMAX,-3.35
176701,TMIN,-6.06
176702,TMAX,5.89
176702,TMIN,2.11
176703,TMAX,11.02
176703,TMIN,5.51
176704,TMAX,14.13
176704,TMIN,8.71
176705,TMAX,18.87
176705,TMIN,13.36
176706,TMAX,22.7
176706,TMIN,17.16
176707,TMAX,28.23
176707,TMIN,21.2
176708,TMAX,25.38
176708,TMIN,18.54
176709,TMAX,20.87
176709,TMIN,14.23
